Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Técnica (product.metafields.custom.technique),Materiales (product.metafields.custom.materials),Tiempo de producción (product.metafields.custom.lead_time),Badge (product.metafields.custom.badge),Destacado (product.metafields.custom.is_popular),Permite personalización (product.metafields.custom.allow_custom_text),Indicaciones de personalización (product.metafields.custom.custom_text_placeholder)
joyero-roble-caligrafia-madre,Joyero Roble con Caligrafía Grabada,"Joyero artesanal con tapa grabada a fuego fino. Puedes enviarnos una dedicatoria, nombres de los hijos o incluso el trazo manuscrito escaneado de tu puño y letra.",Nenúfar,,Madera & Joyería,"madre, Corte y Grabado Láser CO2, Más vendido",TRUE,Acabado,Madera Roble Claro (Interior Rosa),445210982001,,,,deny,manual,28,TRUE,TRUE,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?auto=format&fit=crop&w=800&q=80,1,Joyero Roble con Caligrafía Grabada,active,Corte y Grabado Láser CO2,Madera de haya/roble macizo con interior forrado en terciopelo rosa pastel,24 a 48 horas,Más vendido,true,true,Ej: Para la mejor mamá del mundo • Sofía y Mateo
joyero-roble-caligrafia-madre,,,,,,,,Acabado,Madera Nogal Oscuro (Interior Beige),445210982002,,,,deny,manual,32,TRUE,TRUE,,,,active,,,,,,,
termo-slim-pastel-madre,Termo Slim Pastel con Inicial Metalizada,Mantiene bebidas frías durante 24 horas o calientes por 12 horas. Grabado de inicial en filigrana floral con el nombre completo debajo.,Nenúfar,,Acero Térmico,"madre, Sublimación + Grabado de Fibra, Térmico 24h",TRUE,Acabado,Rosa Nenúfar Mate 500ml,445210982003,,,,deny,manual,18,TRUE,TRUE,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?auto=format&fit=crop&w=800&q=80,1,Termo Slim Pastel con Inicial Metalizada,active,Sublimación + Grabado de Fibra,Acero inoxidable 304 doble pared al vacío 500ml con acabado mate suave,24 horas,Térmico 24h,true,true,Ej: Inicial M • Mariana
termo-slim-pastel-madre,,,,,,,,Acabado,Lila Lavanda Mate 500ml,445210982004,,,,deny,manual,18,TRUE,TRUE,,,,active,,,,,,,
termo-slim-pastel-madre,,,,,,,,Acabado,Blanco Perla Satinado 500ml,445210982005,,,,deny,manual,18,TRUE,TRUE,,,,active,,,,,,,
marco-acrilico-flotante-flores-madre,Marco Acrílico Flotante con Flor Preservada,Pieza decorativa de lujo con flores botánicas naturales preservadas encapsuladas entre acrílicos y frase personalizada grabada en bajorrelieve.,Nenúfar,,Acrílico & Botánica,"madre, Corte Láser Cristal 4mm & Peana Nogal, Edición Limitada",TRUE,Acabado,Default Title,445210982006,,,,deny,manual,24,TRUE,TRUE,https://images.unsplash.com/photo-1518895949257-7621c3c786d7?auto=format&fit=crop&w=800&q=80,1,Marco Acrílico Flotante con Flor Preservada,active,Corte Láser Cristal 4mm & Peana Nogal,Acrílico óptico virgen transparente y peana en madera lustrada,48 horas,Edición Limitada,false,true,"Ej: «Gracias por florecer mi vida siempre, Mamá»"
tote-bag-lona-madre,Tote Bag Lona Canvas con Ilustración Minimal,Bolso amplio y elegante con dibujo de silueta lineal materna y los nombres de la familia impresos en alta definición con tinta elástica.,Nenúfar,,Textiles,"madre, Estampado DTF Premium Alta Resistencia, Ecológico",TRUE,Acabado,Default Title,445210982007,,,,deny,manual,16,TRUE,TRUE,https://images.unsplash.com/photo-1597484661643-2f5fef640dd1?auto=format&fit=crop&w=800&q=80,1,Tote Bag Lona Canvas con Ilustración Minimal,active,Estampado DTF Premium Alta Resistencia,Algodón canvas 320g crudo con asas reforzadas,24 a 48 horas,Ecológico,false,true,Ej: Mamá de Valentina & Lucas
taza-ceramica-retrato-madre,Taza Cerámica Satinada con Retrato Familiar,Taza en tono marfil mate con ilustración botánica o caricatura minimalista de mamá y frase cariñosa en la parte posterior.,Nenúfar,,Cerámica,"madre, Sublimación Cerámica HD Triple Horneado, Detalle tierno",TRUE,Acabado,Default Title,445210982008,,,,deny,manual,14,TRUE,TRUE,https://images.unsplash.com/photo-1517256064527-09c73fc73e38?auto=format&fit=crop&w=800&q=80,1,Taza Cerámica Satinada con Retrato Familiar,active,Sublimación Cerámica HD Triple Horneado,Cerámica pesada de 11oz apta para microondas y lavavajillas,24 horas,Detalle tierno,false,true,Ej: «La mejor mamá desde 2018»
espejo-cartera-oro-rosa-madre,Espejo de Cartera Grabado en Oro Rosa,Espejo de bolsillo compacto con grabado de monograma o frase especial en la cubierta superior. Presentado en funda aterciopelada.,Nenúfar,,Accesorios,"madre, Grabado Láser de Fibra Precisión, Compacto",TRUE,Acabado,Default Title,445210982009,,,,deny,manual,12,TRUE,TRUE,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=800&q=80,1,Espejo de Cartera Grabado en Oro Rosa,active,Grabado Láser de Fibra Precisión,Carcasa metálica en oro rosa con doble espejo interior (normal y 2x aumento),24 horas,Compacto,false,true,"Ej: «Para mamá, tan hermosa como siempre»"
tarro-cervecero-termico-padre,Tarro Cervecero Mate Térmico 700ml,El haz láser elimina la capa de pintura mate descubriendo el acero inoxidable con nitidez permanente. Mantiene la cerveza helada hasta la última gota.,Nenúfar,,Acero Térmico,"padre, Grabado Láser de Fibra Permanente, Favorito Papá",TRUE,Acabado,Negro Mate 700ml,445210983001,,,,deny,manual,22,TRUE,TRUE,https://images.unsplash.com/photo-1538488881522-4326c3647717?auto=format&fit=crop&w=800&q=80,1,Tarro Cervecero Mate Térmico 700ml,active,Grabado Láser de Fibra Permanente,Acero inoxidable negro mate o verde bosque con asa ergonómica,24 horas,Favorito Papá,true,true,Ej: Papá Maestro Parrillero • Desde 2015
tarro-cervecero-termico-padre,,,,,,,,Acabado,Verde Militar Mate 700ml,445210983002,,,,deny,manual,22,TRUE,TRUE,,,,active,,,,,,,
kit-parrillero-nogal-padre,Kit Parrillero en Nogal y Acero Forjado,"Set de espátula, pinzas y cuchillo asador con mangos grabados individualmente con su nombre o frase en estuche enrollable de cuero encerado.",Nenúfar,,Madera & Asador,"padre, Grabado Láser en Mangos y Estuche de Cuero, Set Premium",TRUE,Acabado,Default Title,445210983003,,,,deny,manual,34,TRUE,TRUE,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=800&q=80,1,Kit Parrillero en Nogal y Acero Forjado,active,Grabado Láser en Mangos y Estuche de Cuero,Madera dura de nogal pulida al aceite y acero inox 430 de 2.5mm,48 horas,Set Premium,true,true,Ej: Asador Oficial: Don Roberto
destapador-rustico-iman-padre,Destapador Rústico con Imán Colector Neodimio,Destapador de pared que atrapa las corcholatas en el aire gracias a su potente imán interno oculto. Personalizado con escudo familiar o nombre.,Nenúfar,,Madera Rústica,"padre, Corte Láser & Envejecido Artesanal, Para el Quincho",TRUE,Acabado,Default Title,445210983004,,,,deny,manual,19,TRUE,TRUE,https://images.unsplash.com/photo-1527061011665-3652c757a4d4?auto=format&fit=crop&w=800&q=80,1,Destapador Rústico con Imán Colector Neodimio,active,Corte Láser & Envejecido Artesanal,Madera maciza de pino curada y herraje de hierro fundido,24 a 48 horas,Para el Quincho,false,true,Ej: Bar de Papá • Familia Morales
gorra-trucker-parche-cuero-padre,Gorra Trucker Vintage con Parche de Cuero,Gorra estilo retro con parche de cuero genuino grabado con monograma o sello de papá y cosido firmemente a mano.,Nenúfar,,Accesorios & Textiles,"padre, Corte Láser en Cuero Curtido Vegetal & Cosido, Estilo Diario",TRUE,Acabado,Default Title,445210983005,,,,deny,manual,15,TRUE,TRUE,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?auto=format&fit=crop&w=800&q=80,1,Gorra Trucker Vintage con Parche de Cuero,active,Corte Láser en Cuero Curtido Vegetal & Cosido,Sarga de algodón y malla transpirable con parche en vaqueta natural,24 horas,Estilo Diario,false,true,Ej: Papá de Mateo • Est. 2020
vaso-whiskey-grabado-padre,Vaso Lowball Whiskey con Base Pesada Grabada,Elegante vaso para licores y cócteles con grabado suave al tacto con su año de nacimiento o monograma clásico.,Nenúfar,,Cristalería,"padre, Grabado Rotativo Láser en Cristal, Elegante",TRUE,Acabado,Default Title,445210983006,,,,deny,manual,16,TRUE,TRUE,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?auto=format&fit=crop&w=800&q=80,1,Vaso Lowball Whiskey con Base Pesada Grabada,active,Grabado Rotativo Láser en Cristal,Cristal templado europeo de 320ml libre de plomo,24 horas,Elegante,false,true,Ej: J. R. Mendoza • Reserva Especial
llavero-cuero-grabado-padre,Llavero de Cuero Curtido con Coordenadas o Placa,"Llavero robusto grabado con las coordenadas de su hogar, fechas de nacimiento de sus hijos o un mensaje secreto en el reverso.",Nenúfar,,Cuero & Metal,"padre, Grabado Láser en Cuero Genuino, Económico & Duradero",TRUE,Acabado,Default Title,445210983007,,,,deny,manual,9.5,TRUE,TRUE,https://images.unsplash.com/photo-1519751138087-5bf79df62d5b?auto=format&fit=crop&w=800&q=80,1,Llavero de Cuero Curtido con Coordenadas o Placa,active,Grabado Láser en Cuero Genuino,Cuero curtido al vegetal de 3mm y remache en latón envejecido,24 horas,Económico & Duradero,false,true,Ej: Coordenadas o «El mejor papá»
libreta-ejecutiva-bambu-maestro,Libreta Ejecutiva Bambú con Bolígrafo a Juego,"Portada rígida grabada con el nombre del docente, asignatura o agradecimiento de toda la clase. Incluye bolígrafo de bambú personalizado.",Nenúfar,,Papelería & Madera,"maestro, Grabado Láser en Cubierta de Bambú y Clip Metálico, Top Colegios",TRUE,Acabado,Default Title,445210984001,,,,deny,manual,17,TRUE,TRUE,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?auto=format&fit=crop&w=800&q=80,1,Libreta Ejecutiva Bambú con Bolígrafo a Juego,active,Grabado Láser en Cubierta de Bambú y Clip Metálico,Madera de bambú natural y 160 páginas de papel ahuesado 90g,24 horas,Top Colegios,true,true,Ej: Prof. Ricardo Silva • Generación 2026
kit-sellos-calificadores-maestro,Kit de 4 Sellos Calificadores con Estuche de Madera,"Sellos didácticos motivadores (""¡Excelente trabajo!"", ""Sigue así"", ""Revisado por..."") personalizados con su nombre e ilustración.",Nenúfar,,Sellos & Aula,"maestro, Corte y Grabado Láser en Caucho Vulcanizado, Súper Útil",TRUE,Acabado,Default Title,445210984002,,,,deny,manual,21,TRUE,TRUE,https://images.unsplash.com/photo-1586075010923-2dd4570fb338?auto=format&fit=crop&w=800&q=80,1,Kit de 4 Sellos Calificadores con Estuche de Madera,active,Corte y Grabado Láser en Caucho Vulcanizado,Empuñaduras de madera de haya torneada y almohadilla entintada,48 horas,Súper Útil,false,true,Ej: Nombre del Profesor/a para los 4 sellos
taza-paciencia-maestro,"Taza Cerámica ""Dosis de Paciencia para Educar""",Divertida y emotiva taza con diseño alusivo a la docencia y todos los nombres de los alumnos ordenados en el reverso.,Nenúfar,,Cerámica,"maestro, Sublimación Full Color Vitrificada, Económico",TRUE,Acabado,Default Title,445210984003,,,,deny,manual,11,TRUE,TRUE,https://images.unsplash.com/photo-1517256064527-09c73fc73e38?auto=format&fit=crop&w=800&q=80,1,"Taza Cerámica ""Dosis de Paciencia para Educar""",active,Sublimación Full Color Vitrificada,Cerámica calidad AAA blanca brillante con interior de color,24 horas,Económico,true,true,Ej: Maestra Claudia • 4to Grado A
pack-stickers-calificar-maestro,Pack 50 Stickers Vinílicos Impermeables para Calificar,"Stickers circulares y con formas de estrellas listos para despegar, personalizados con el nombre del docente para premiar a sus estudiantes.",Nenúfar,,Stickers & Vinil,"maestro, Impresión UV en Vinil Mate + Troquelado de Precisión, Pack 50 piezas",TRUE,Acabado,Default Title,445210984004,,,,deny,manual,12,TRUE,TRUE,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?auto=format&fit=crop&w=800&q=80,1,Pack 50 Stickers Vinílicos Impermeables para Calificar,active,Impresión UV en Vinil Mate + Troquelado de Precisión,Vinil autoadhesivo impermeable laminado,24 horas,Pack 50 piezas,false,true,Ej: «Revisado con cariño por Profe Andrea»
portalapices-nogal-maestro,Portalápices de Nogal y Acrílico Translúcido,"Organizador de escritorio moderno con soporte para teléfono y compartimento para marcadores, grabado con dedicatoria.",Nenúfar,,Organización,"maestro, Corte Láser & Ensamble a Mano, Para el escritorio",TRUE,Acabado,Default Title,445210984005,,,,deny,manual,15,TRUE,TRUE,https://images.unsplash.com/photo-1456513080510-7bf3a84b82f8?auto=format&fit=crop&w=800&q=80,1,Portalápices de Nogal y Acrílico Translúcido,active,Corte Láser & Ensamble a Mano,Madera de nogal y acrílico humo de 3mm,24 horas,Para el escritorio,false,true,Ej: Prof. Gabriel • Gracias por tu vocación
